Username,Total reviews,Location,Date,Review,Rating
Richard,37K reviews,US,2025-02-14T22:43:05.000Z,"Just when you thought Customer Disservice couldn't be worseI used to think it was a tie between AT&T and Comcast as to who had the worst Customer Disservice. That question is moot now, because the winner is Walmart. Foreign CD reps, an idiot chat bot, an exhausting telephone menu system bent on preventing access to a carbon life form, and an inscrutable web site designed by some executive's eighth grade computer nerd are all arrayed against you should you have a problem. If everything goes as planned -- which it never does -- then Walmart certainly is the place to shop if you're ok with grocery jumbo quantities which have a larger profit margin than smaller units. But woe unto you when things, like the best-laid plans of mice and men, go awry. The breathtaking incompetence of the people and the software of this organization strains one's credulity. You won't believe it until you experience it; withhold judgement until then.Date of experience:February 14, 2025",1
Ronald Mitzel,3.6K reviews,US,2025-02-14T06:03:30.000Z,"Worst delivery of any store in the United StatesI paid $12.95 a month for delivery service. Sometimes the delivery comes most times it doesn't. When it does come sometimes there's items missing. I call Walmart to tell them and they act like it's my fault they played the victim, because of their incompetent employees. I ordered lettuce recently and then let head of lettuce was black. It was rotted how dare they send that out to me. They take advantage of seniors especially who know that they can't get out to the store and have to depend on them. You have the lousiest delivery service in the United States of any other company I would rather pay $50 a month to have my groceries delivered and know that I'm going to get what I ordered I am done with you Walmart you are the absolute worstDate of experience:February 06, 2025",1
Armando Garcia Luna,14K reviews,US,2025-02-12T03:01:21.000Z,"Poor customer service & ScamPoor customer service, I made a purchase on Feb 1st, 2025 and delivery was supposed to be on Feb 10th.  They Charge my card and provided a canceledtracking number.Pre-ShipmentLabel CancelledFebruary 3, 2025Shipping Label Created, USPS Awaiting ItemDRAPER, UT 84020February 3, 2025, 10:34 amI contacted Walmart several times and they don't have an answer, They just forwarded my message to the vendor: Nevar Enterprises LLC20 VILLA DE GOLF, Dorado, PR 00646I think this is an scam between the Nevar and Walmart Company.Date of experience:February 10, 2025",1
Jessica Laurie,3reviews,US,2025-02-14T03:06:45.000Z,"WalmartWalmart.  Where do I even begin?  It's like a circus most days.  The parking lot.  ""Packed"" doesn't even begin to describe it. People.  Everywhere.  It's like trying to navigate a crowded subway during rush hour. Items are scattered and go to cash out all empty no cashiers so the 2 open lanes take forever.Date of experience:February 07, 2025",1
Mike Doyle,1review,US,2025-02-14T21:37:21.000Z,"I bought a cellphone from an OSLI bought a cellphone from an OSL. He lied to me a couple times and I changed providers but when what he told me was a lie I was going to return the phone. He told me if I kept the phone for at least 3 months it could be unlocked. That was another lie and now its too late for me to return it.Date of experience:October 01, 2024",1
Maggie Barker,2reviews,US,2025-02-10T00:34:14.000Z,"Walmart doesn't deliverUnfortunately I signed up for a delivery.  Today for an express order from 5 hrs ago I learn a druver has not been assigned.   Reason I was guven is they are too busy.  I've been on phone for 20 minutes waiting for a supervisor who Ii fear will be unable or unwilling to expedite my very late express order.  Coneumers BEWARE WALMART DOESNT DELIVER.  THEY ARE TOO BUSY.  THE STORE IS LESS THAN 3 MILES FROM MY HOME   IF I WASN'T DISABLED RIGHT NOW I COULD EALK THERE SND GET MY ORDER INSIDE THE 12 HOUR WINDOW THEY ARE QUOTING NOW. UBER, DOIRDASH AND SMITH'S SEN LIKE A BETTER OPTION. WALMART IS DISGUSTING.  NOT THERE WHEN REALLY NEEDED.Date of experience:February 09, 2025",1
Michelle Kramer,3reviews,US,2025-02-11T14:45:23.000Z,"A very unfortunate incident happened to…A very unfortunate incident happened to me at Walmart.  I paid for my groceries and I got a receipt but later discovered that my card also paid for the person’s groceries behind me ! A lot of money .  I have no idea how it happened and there are two separate receipts yet Walmart absolutely refuses to reimburse me. I brought the police to the store to look at the video camera to show that I did not buy those items. I wasn’t even in the store when they were bought, and they still will not help me and they were  extremely rude and obnoxious to me. to rip me off and then act like that was just completely outrageous. I will never ever shop at Walmart again. I moved all my prescriptions too so I make sure to never give them another penny of my money .Date of experience:November 15, 2024",1
davideagle,9reviews,US,2025-02-13T13:10:51.000Z,"Went to Walmart on a busy SaturdayWent to Walmart, recently on a busy Saturday. They had too many managers standing at the end of the check-out aisles as customers were ringing up their own groceries and products. Upon asking the manager for some help in reducing the long lines; she immediately called on the PA for assistance. Proving, sometimes, you only need to ask for help!Date of experience:February 09, 2025",3
Joe Moore,1review,US,2025-02-15T01:45:16.000Z,"Walmart could put prices on there…Walmart could put prices on there items. I went to buy a bike in the Walmart in Vineland N J and left because there was no prices on any one of them.They lost about 300 dollar sale. I then went to the dairy. There was no eggs to be had. I then proceeded to look into the sale case and nothing was priced.no of was around to help. They lost about 400dollat sale that day. I don't  care about the  prices, but 50 percent were not priced Nobody was around to help.They have the equipment to put tags on them sowhy.domt they do it. You know if you had more customer service in the store you could double your sales and the management would make more money and a bigger profit. Why don't management understand retailingPricing ,filling shelves çustomer service creates more money and double profits. It also stops shoplifting. When shoplifters see an employer working in they aisle or the next aisle they leave the store because they think some one is watching. The management of the store have it backwards customer service goes along way. Clean up the store and you will double sales and double profit.Date of experience:January 04, 2025",1
Sohan Varma,2reviews,US,2025-02-10T00:20:07.000Z,"My 70 year old parents ordered mattress…My 70 year old parents ordered mattress from walmart.com with haul away for king mattress.  In total 4 people have come from Angie and 2-3 of them brought a small car and didn’t understand what was the work order.  One person demanded a disposal fee and threatened to leave the mattresses on the stress after leaving.  This is highly unprofessional and waste of time for the service charges we have already paid.  I personally called three times to have this scheduled and the customers service and angie keeps getting it wrong.  If my parents fall down from the mattress that is on the front porch, who is responsible for it? I will sue angie and walmart for the damages!Date of experience:February 09, 2025",1
Dottie Fisher,2reviews,US,2025-02-14T06:25:35.000Z,"I LOVE Walmart!I LOVE Walmart!! They treat my like a queen. I have a membership and I order my items on line Sometimes I'll go there and shop but I got hurt and I'm not able to at this time Customer service is awesome!! I have nothing bad to say about them. I don't understand why the negative comments. If you don't like Walmart please find somewhere else to shop Walmart treats me good!!Date of experience:February 10, 2025",5
Shelly C,1review,US,2025-02-15T03:48:15.000Z,"I’m boycott Walmart because they don’t…I’m boycott Walmart because they don’t do the right things. No respect for others peopleDate of experience:February 14, 2025",1
Troy,2reviews,US,2025-02-10T02:12:29.000Z,"Low Quality ExperienceThe product quality of their own items (Sam’s Choice or Great Value) is just bad, but the negative experience starts when you come into the store and struggle to pull out a mangled shopping cart.Date of experience:February 08, 2025",1
Curtis Dorman,4reviews,US,2025-02-09T18:05:20.000Z,"No proper helpSad that every other box comes damaged or not at all. I called three times now about damaged items to be returned, but to no prevail.  After hours on the phone, with multiple still no return label.  Walmart is no good anymore. It seems they really dont care once they have your money.Date of experience:February 09, 2025",1
Scott Hauser,2reviews,US,2025-02-10T21:13:13.000Z,"Terrific Experience at Walmart Tire DeptWe arrived at 4:30 for our 5 o clock appt. We stood at the desk and waited 15 minutes before anyone came to help. After confirming our appt, they were unable to find the tires I ordered online. According to service tech, they should have been pulled earlier that day.Side note, there was only one other car in the bay with about 5 employees in the garage. They finally got my truck in at 5:30 to start the process. One employee would work on changing and balancing my tires as 3 would watch. One employee decided to start a boxing match with a pile of tires. I guess they don’t realize they are being watched through the glass.This process took over an hour and a half. After being told the truck was finished, they proceeded to tell us they needed to do a figure eight out in the parking lot. This meant they were going to perform cheerios in the parking lot with my vehicle. The employee attempted this while the others watched. He was able to do this  as my wife yelled “its in four wheel drive, please don’t do that. They just laughed. Not to mention, coming close to hitting other cars in the parking lot. I’m sure its on their security cameras.Date of experience:February 08, 2025",1
Michele,1review,US,2025-02-15T01:50:56.000Z,"exchange at customer service with receiptExchange at customer service counter with receipt of item purchased earlier today was perfect. Reapplied back to payment method and no fuss. Quick and easy. Customer service representative was friendly and helpful.Date of experience:February 14, 2025",5
